,SK_ID_CURR,TARGET,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,TOTALAREA_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,NonNA_Percentage,Jenny's,Max Correlation,3rd max,4th max
SK_ID_CURR,1,-0.002108469,-0.001129236,-0.001820296,-0.000343161,-0.00043292,-0.000231788,0.000849129,-0.001499801,0.001366234,-0.00097339,-0.000384367,0.001818347,0.002804358,-0.001336523,-0.000414597,0.002814803,0.002753106,0.000280783,-0.002895129,-0.001074657,-0.001137598,0.000350292,-0.000282844,0.001097498,0.002903051,-0.001884755,-0.001582332,6.72E-05,8.17E-05,0.002342065,0.000222003,0.001556098,-0.002069698,0.001550905,0.005899618,-0.001462674,0.004861795,-0.00287914,0.0048513,0.0030832,0.001464521,0.003119237,0.001770173,-0.002574621,0.00304177,0.00196145,-0.00141103,0.001890157,0.005244722,-0.001058196,0.005017249,-0.002844118,0.004386208,0.00208149,0.001548024,0.003589054,0.002156498,-0.001922979,0.001919697,0.001988053,-0.001646875,0.00136637,0.005777437,-0.001036222,0.005067035,-0.002582655,0.004588279,0.002836949,0.001699092,0.003272215,0.002205426,-0.003019635,0.002440395,0.002288369,-0.001409117,-8.19E-05,-0.001423306,0.001187252,-0.000857996,0.00069996,-0.003411269,-0.004138585,-0.001097008,0.002121288,-0.002694101,0.001809201,0.001504712,-0.000814661,-0.002012282,-0.001045415,0.00089634,-0.001077165,0.002603747,-0.000723813,0.001449891,0.000509063,0.000167246,0.001072695,0.000282471,-0.002672444,-0.002192887,0.002098854,0.000485453,0.001025016,0.004659167,0.00075952,No,0.005899618,0.005777437,0.005244722
TARGET,-0.002108469,1,0.019187134,-0.003981866,-0.030369286,-0.012816562,-0.039645281,-0.037227149,0.078239308,-0.044931663,0.041974863,0.051457173,0.037611564,0.000534396,0.04598222,0.028524322,0.000370127,-0.023806272,-0.001758383,0.009307784,0.058899015,0.060892668,-0.024165831,0.005575945,0.006941908,0.002819479,0.044395375,0.050994464,0.032518341,-0.155317126,-0.160471672,-0.178918698,-0.029497565,-0.022745743,-0.009727673,-0.022149284,-0.018549662,-0.034198794,-0.019172182,-0.044003371,-0.033613503,-0.010884823,-0.025030533,-0.032997117,-0.003176108,-0.01357807,-0.027283871,-0.019952284,-0.009036447,-0.022068204,-0.016340337,-0.032131171,-0.017387422,-0.043226263,-0.032697825,-0.010174104,-0.023393246,-0.030684616,-0.001556561,-0.012710544,-0.029183759,-0.022081261,-0.009993097,-0.022325926,-0.018572869,-0.033862877,-0.019024756,-0.043767921,-0.033394287,-0.011255827,-0.024620664,-0.032739284,-0.002757149,-0.01333672,-0.032595547,0.009130666,0.032247579,0.009022144,0.031276472,0.055218484,0.005417144,0.044346347,-0.002672082,-0.000315777,-0.028601894,-0.001519503,-0.008040384,-0.004352409,-0.001413892,-0.00422935,-0.000755751,-0.011583222,-0.009463822,-0.006535658,-0.011614672,-0.003377569,-0.007952385,-0.001357518,0.000215394,0.003708625,0.000930425,0.002704401,0.000787712,-0.012462419,-0.002021927,0.019929859,-0.04212343,No,0.078239308,0.060892668,0.058899015
CNT_CHILDREN,-0.001129236,0.019187134,1,0.012882077,0.002145443,0.021373778,-0.001827168,-0.025572832,0.330937668,-0.239818092,0.183395284,-0.028019426,0.008493515,0.00104148,0.240713525,0.055629718,-0.000794192,-0.029905728,0.02261866,0.87916064,0.025422947,0.024781243,-0.007292162,-0.013319272,0.00818474,0.014834806,0.02007185,0.070649888,0.0699575,-0.138469724,-0.018014797,-0.042710312,-0.01322205,-0.008463619,0.006902427,0.03017216,0.000139898,-0.007059889,-0.008341243,-0.009705013,-0.008752538,-0.003121376,-0.008647875,-0.010116055,0.00405074,2.82E-05,-0.01210484,-0.008512992,0.006198876,0.029548591,0.000440097,-0.006396979,-0.006880464,-0.009550308,-0.008043748,-0.002212462,-0.007955105,-0.009516602,0.004077146,0.000231177,-0.012984705,-0.008799366,0.00640134,0.030123724,0.000609089,-0.006746787,-0.008324517,-0.009446952,-0.008230782,-0.002819975,-0.00796185,-0.010067041,0.00413292,6.09E-05,-0.008036936,0.015592959,-0.001261734,0.015231862,-0.001861075,-0.005865159,0.001785812,0.056837275,-0.003709197,-0.016736706,-0.157023752,-0.001497631,0.051696638,-0.001997233,-0.002755523,-0.005317703,0.000292943,0.003944689,-0.005459385,0.003608959,0.010662336,0.000772755,0.004030511,0.000864104,0.000987936,-0.002450268,-0.000409557,-0.000365619,-0.002436028,-0.010807739,-0.007835783,-0.041549728,-0.020047858,No,0.87916064,0.330937668,0.240713525
AMT_INCOME_TOTAL,-0.001820296,-0.003981866,0.012882077,1,0.156870272,0.191657428,0.159610064,0.074795703,0.027260873,-0.0642234,0.02780542,0.008506241,-0.117273338,0.000325477,0.063994476,-0.017193012,-0.008289503,0.000158946,0.038377965,0.016341589,-0.085465189,-0.091734529,0.036458999,0.031191192,0.062340452,0.058058669,0.003573843,0.006430836,0.008285199,0.02623237,0.060924636,-0.030229053,0.03450054,0.017302767,0.0056581,0.042333834,0.089616009,0.045052784,0.005394406,0.060171138,0.139859662,-0.001598234,0.10691969,0.039975669,0.029519782,0.074604166,0.029994239,0.012821296,0.005283824,0.037299437,0.075624592,0.041031822,0.002027008,0.057675463,0.131800046,-0.003673821,0.092990965,0.034914648,0.025019645,0.061778074,0.033797732,0.016381306,0.005638805,0.042004064,0.087917831,0.044159698,0.004786965,0.059681992,0.138488983,-0.001891608,0.104914145,0.039261416,0.028097645,0.070844488,0.04198466,-0.013098595,-0.013243811,-0.013015437,-0.013134678,-0.018585118,-0.000999846,-0.016751321,0.000528645,0.001507144,-0.045877661,0.003824723,0.072450647,0.018389031,0.000290072,0.002314761,0.002540368,0.022746912,0.020707732,0.01079265,0.007268595,0.002230478,0.00312988,0.002408189,0.000241981,-0.000588843,0.00070921,0.002943994,0.00238729,0.024699848,0.004859353,0.011689708,0.056587979,No,0.191657428,0.159610064,0.156870272
AMT_CREDIT,-0.000343161,-0.030369286,0.002145443,0.156870272,1,0.770138003,0.986968305,0.099737876,-0.055435947,-0.066838341,0.009621326,-0.006574774,-0.094190719,0.001435573,0.065518594,-0.021084599,0.023652846,0.026212789,0.016631912,0.063159813,-0.101776386,-0.110915258,0.052737645,0.024009863,0.051928889,0.052608985,-0.026886392,-0.018856162,8.08E-05,0.1684289,0.131227936,0.043516255,0.060439226,0.039226165,0.006248758,0.035874699,0.049536541,0.08063502,0.014929276,0.10329577,0.078832289,0.00621797,0.058788013,0.072145923,0.014362257,0.037884525,0.053072047,0.031212687,0.00480385,0.033477691,0.042341413,0.074739891,0.009361224,0.100418089,0.075484618,0.002532118,0.051207661,0.06414174,0.011106103,0.032390407,0.058682214,0.037280993,0.005765094,0.035589199,0.048565435,0.079094383,0.013692074,0.10277029,0.078375051,0.005414972,0.057057849,0.070859619,0.013401682,0.035829431,0.072818031,0.000189551,-0.02122944,0.000238565,-0.023766985,-0.073701112,0.008905095,0.096365012,0.000630263,-0.011756414,-0.046716689,-0.004039727,0.082819301,0.022602179,-0.003100154,0.028985642,0.003856747,0.052428874,0.048828422,0.032251963,0.061925373,0.011743351,0.034329099,0.02108161,0.031023062,-0.016148281,-0.003905918,0.004237704,-0.001274811,0.054451451,0.015925231,-0.048447739,0.069090516,No,0.986968305,0.770138003,0.1684289
AMT_ANNUITY,-0.00043292,-0.012816562,0.021373778,0.191657428,0.770138003,1,0.775109273,0.118429095,0.00944547,-0.104331859,0.038514247,0.011268052,-0.09705744,0.000149005,0.103533167,-0.024803349,0.022349692,0.010801857,0.071709263,0.075539282,-0.128524581,-0.141681775,0.05226943,0.041298982,0.079420497,0.074550367,-0.006213614,0.000896279,0.010084187,0.119398382,0.125804003,0.030751816,0.076212587,0.044507109,0.013298099,0.034195347,0.057628223,0.101439345,0.014745339,0.130173649,0.099812403,0.00861073,0.075292653,0.08965913,0.021306489,0.049592692,0.066400834,0.034443437,0.012554732,0.030931892,0.049073704,0.093131103,0.007362173,0.126301597,0.094457481,0.003621035,0.065605564,0.079425657,0.016753677,0.041417702,0.073987063,0.042451734,0.012939838,0.033712594,0.056865148,0.099558536,0.01327609,0.12917901,0.098641804,0.007710756,0.073049355,0.088134289,0.020472854,0.047008663,0.090414557,-0.011986638,-0.022833229,-0.011730516,-0.024000753,-0.063746886,0.003397372,0.102843266,0.001108963,-0.0066553,-0.073897184,-0.002272545,0.130583781,0.03369144,-0.003368835,-0.003667918,0.000847148,0.025115164,0.036856241,0.016124772,0.007198071,0.003191293,-0.009744584,0.004573016,0.011717681,-0.017598059,0.003861248,0.002185334,0.013880509,0.039148073,0.010123534,-0.011320022,0.076175472,No,0.775109273,0.770138003,0.191657428
AMT_GOODS_PRICE,-0.000231788,-0.039645281,-0.001827168,0.159610064,0.986968305,0.775109273,1,0.103519708,-0.053442309,-0.06484199,0.011564978,-0.009266808,-0.103733271,0.001398567,0.063486678,0.001086036,0.020705627,0.042179464,0.017047561,0.061185443,-0.103786297,-0.112208373,0.06232044,0.026110962,0.053171095,0.0528641,-0.027211552,-0.020332917,-0.001308622,0.175502215,0.139366799,0.047716836,0.064917673,0.043981536,0.007244762,0.041936501,0.050506629,0.083735578,0.018763569,0.108512457,0.081410907,0.013296528,0.061849532,0.077306951,0.015424331,0.041911718,0.057522681,0.035811016,0.005798805,0.039409846,0.043085938,0.077977517,0.013334788,0.10553212,0.077769526,0.009378915,0.053812762,0.069324256,0.011866152,0.036402999,0.06318678,0.041980478,0.006838677,0.041583455,0.049519125,0.082265811,0.017585258,0.10793597,0.080862751,0.012550261,0.060103549,0.076027607,0.014380913,0.039873946,0.0775269,0.000328122,-0.022243515,0.000347166,-0.02450604,-0.076312855,0.010773515,0.074899694,0.001113116,-0.005201144,-0.050232452,0.000202173,0.080482301,0.022573646,-0.002133933,0.035124052,0.004066672,0.052357508,0.04874926,0.032932071,0.058304825,0.012138725,0.032747978,0.020278823,0.031639644,-0.014486353,-0.003236552,0.004676873,-0.001006699,0.056422359,0.016432485,-0.050998417,0.071443382,No,0.986968305,0.775109273,0.175502215
REGION_POPULATION_RELATIVE,0.000849129,-0.037227149,-0.025572832,0.074795703,0.099737876,0.118429095,0.103519708,1,-0.029582277,-0.003979792,-0.053819644,-0.003993375,-0.081429054,0.001333143,0.004044638,-0.015627579,-0.01247791,0.09093853,0.040012152,-0.024208892,-0.532876531,-0.531535452,0.171285185,0.002117931,0.056943933,0.08101571,-0.050499385,-0.044057288,-0.015187817,0.099997293,0.198924168,-0.006001135,0.205942089,0.098423373,-0.006682613,-0.056565514,0.164805516,0.280685072,0.036840054,0.322651514,0.294349464,-0.051159888,0.194452262,0.213491132,0.024293278,0.074815612,0.175028632,0.065779133,-0.006837244,-0.063779016,0.130930895,0.251539271,0.015983364,0.303992028,0.275655695,-0.060558193,0.163155902,0.180931521,0.01653629,0.049695498,0.201380425,0.094075314,-0.006710689,-0.057792806,0.160275009,0.274390402,0.03362828,0.318318984,0.290743949,-0.052547287,0.189238621,0.209347199,0.021873163,0.066060268,0.202145189,-0.011159677,0.006328861,-0.010638089,0.002403552,-0.044013211,-0.003039926,-0.084643584,0.008102301,0.016032362,0.000727865,0.002436133,0.088523372,0.038433802,0.001991828,0.024632018,-0.000403638,0.031185606,0.032201518,0.009446256,0.006313021,0.007414137,0.013367055,0.002363603,-4.49E-05,0.003436735,-0.002224752,0.0013992,-0.002148643,0.078606551,-0.001279497,0.001003324,0.122332191,No,0.322651514,0.318318984,0.303992028
DAYS_BIRTH,-0.001499801,0.078239308,0.330937668,0.027260873,-0.055435947,0.00944547,-0.053442309,-0.029582277,1,-0.615864196,0.331912082,0.272690662,0.005761036,-0.003083902,0.619887696,0.17245687,-0.014984502,-0.042401758,0.088208325,0.278893585,0.00936065,0.008073487,0.091064348,0.065485786,0.095818768,0.069567283,0.180382173,0.24240133,0.15888209,-0.600609974,-0.09199587,-0.205477603,0.004778885,-0.004399762,0.000743889,0.0266232,0.008363543,-0.001447505,-0.010281229,0.001633636,0.001538071,0.003013409,0.011183704,-0.000333544,0.002228612,0.005712396,0.004959204,-0.004319097,0.00071388,0.025843703,0.009649331,-0.000888774,-0.009374171,0.001293784,0.000927357,0.003799833,0.011743244,-2.03E-05,0.003025095,0.005537911,0.005091885,-0.004344781,0.000787264,0.02684397,0.009176533,-0.001298523,-0.009875944,0.00179054,0.001735249,0.003340581,0.011794138,9.95E-05,0.002150486,0.006323173,0.001329477,0.007425425,0.000205538,0.007022626,0.001924891,0.082939072,-0.001191498,0.109666477,-0.002789311,0.016774499,-0.407160193,0.001469438,0.113243229,0.018212799,-0.000168062,0.044715759,0.000236091,0.026332524,0.030733178,0.012952553,0.024044463,0.007876572,0.044498217,0.003613964,0.009015006,0.027281732,0.005285234,0.00225484,-0.001335687,0.001371693,-0.011799476,-0.071982734,0.004648103,No,0.619887696,0.331912082,0.330937668
DAYS_EMPLOYED,0.001366234,-0.044931663,-0.239818092,-0.0642234,-0.066838341,-0.104331859,-0.06484199,-0.003979792,-0.615864196,1,-0.210241785,-0.272378039,0.028830495,0.000818306,-0.999755011,-0.233971928,0.012745202,0.01529107,-0.062111976,-0.233549397,0.032750276,0.034623818,-0.09113798,-0.035803412,-0.107150345,-0.095538574,-0.090516158,-0.254559079,-0.218101231,0.289847797,-0.020767102,0.113434475,-0.016358631,-0.001382044,0.008629088,-0.005829978,-0.012527954,-0.009791563,0.0040177,-0.015969566,-0.015893658,-0.009608764,-0.020192147,-0.012438099,-0.004679562,-0.012857852,-0.014632413,-0.000242911,0.008637064,-0.005052787,-0.01304088,-0.008802082,0.0049429,-0.015063694,-0.015407343,-0.00875768,-0.019579333,-0.010847088,-0.004860701,-0.011725711,-0.016238976,-0.001535329,0.008404527,-0.006161264,-0.013008424,-0.009817026,0.004137979,-0.016050816,-0.016326732,-0.00962651,-0.020354317,-0.012630533,-0.004664518,-0.012975401,-0.0151262,0.005734168,0.016717159,0.005887636,0.014211236,0.02303239,-0.003090473,-0.249081505,0.000437142,-0.020040858,0.597484437,-0.00222148,-0.121571195,-0.023833604,-0.000439091,-0.02891488,-0.001225452,-0.025778407,-0.023383478,-0.01428527,-0.042904828,-0.007187455,-0.040395787,-0.010039719,-0.010135444,-0.008395864,-0.00473534,0.000472391,0.003072097,-0.034456812,0.015344694,0.049987963,-0.052215671,No,0.597484437,0.289847797,0.113434475
